dataset,model,run_id,stage_name,wall_clock_seconds,share_of_profiled_time,rss_start_mb,rss_end_mb,rss_delta_mb,status
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_user_history_index,0.49120400001993403,0.0007816246222472053,180.796875,190.87890625,10.08203125,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,fit_model,608.6185130999656,0.9684595715326242,197.7890625,252.80859375,55.01953125,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,initialize_model,2.0200037397444248e-05,3.214315559221024e-08,197.78515625,197.78515625,0.0,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_ratings_data,0.6005977000459097,0.0009556965138758513,137.6328125,180.61328125,42.98046875,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_test_ratings,2.429995220154524e-05,3.866711378447071e-08,180.71484375,180.71484375,0.0,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_train_ratings,3.419996937736869e-05,5.442044068119757e-08,180.7109375,180.7109375,0.0,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_validation_ratings,3.5400036722421646e-05,5.633003869996403e-08,180.7109375,180.7109375,0.0,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,predict_test,0.8497353000566363,0.0013521348215607579,268.65234375,270.94140625,2.2890625,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,predict_train,1.3330537999863736,0.002121211701873899,255.93359375,265.73046875,9.796875,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,predict_validation,0.8479254000121728,0.0013492548319057438,265.73046875,268.65234375,2.921875,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_dataset_manifest,0.00823630002560094,1.3105949658316561e-05,136.8203125,136.82421875,0.00390625,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_experiment_config,0.03893360000802204,6.195279435378997e-05,136.734375,136.8203125,0.0859375,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_model_profile,0.011056899966206402,1.7594207821924276e-05,136.82421875,136.8359375,0.01171875,completed
